projectid	sampleid	lane	r1	r2
RU40979	SQ6066	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6066_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6066_L002_R2_001.fastq.gz
RU40979	SQ6066	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6066_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6066_L003_R2_001.fastq.gz
RU40979	SQ6066	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6066_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6066_L004_R2_001.fastq.gz
RU40979	SQ6067	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6067_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6067_L001_R2_001.fastq.gz
RU40979	SQ6067	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6067_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6067_L002_R2_001.fastq.gz
RU40979	SQ6067	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6067_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6067_L003_R2_001.fastq.gz
RU40979	SQ6067	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6067_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6067_L004_R2_001.fastq.gz
RU40979	SQ6068	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6068_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6068_L001_R2_001.fastq.gz
RU40979	SQ6068	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6068_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6068_L002_R2_001.fastq.gz
RU40979	SQ6068	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6068_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6068_L003_R2_001.fastq.gz
RU40979	SQ6068	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6068_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6068_L004_R2_001.fastq.gz
RU40979	SQ6069	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6069_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6069_L001_R2_001.fastq.gz
RU40979	SQ6069	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6069_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6069_L002_R2_001.fastq.gz
RU40979	SQ6069	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6069_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6069_L003_R2_001.fastq.gz
RU40979	SQ6069	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6069_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6069_L004_R2_001.fastq.gz
RU40979	SQ6070	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6070_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6070_L001_R2_001.fastq.gz
RU40979	SQ6070	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6070_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6070_L002_R2_001.fastq.gz
RU40979	SQ6070	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6070_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6070_L003_R2_001.fastq.gz
RU40979	SQ6070	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6070_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6070_L004_R2_001.fastq.gz
